FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
1524841,Rainy Gulch,Valley,WA,53,Snohomish,61,475922N,1213107W,47.9895542,-121.5186774,475834N,1213101W,47.976052,-121.5168892,570,1870,Mount Stickney,9/10/79,3/14/20
1524842,Rainy Lake,Lake,WA,53,King,33,473039N,1213159W,47.5108017,-121.5331859,,,,,1154,3786,Lake Philippa,9/10/79,5/14/19
1524849,Ramapo,Populated Place,WA,53,Clallam,9,480717N,1234059W,48.1214773,-123.6829731,,,,,80,262,Lake Sutherland,9/10/79,
1524850,Ramey Creek,Stream,WA,53,Grays Harbor,27,471112N,1234607W,47.1867567,-123.7685015,471426N,1234807W,47.2405556,-123.8019444,70,230,Railroad Camp,9/10/79,
1524860,Rampart Ridge,Ridge,WA,53,Pierce,53,464700N,1214722W,46.7833346,-121.7894784,,,,,1503,4931,Mount Rainier West,9/10/79,7/15/17
1524867,Ranger Creek,Stream,WA,53,Pierce,53,465944N,1215113W,46.9956608,-121.8537149,465734N,1215253W,46.95955,-121.8814931,633,2077,Mowich Lake,9/10/79,
1524868,Ranger Creek,Stream,WA,53,Pierce,53,470121N,1213206W,47.0226101,-121.5350932,470216N,1212945W,47.0378886,-121.4959254,754,2474,Sun Top,9/10/79,
1524869,Ranger Creek Camp,Locale,WA,53,Pierce,53,470105N,1213208W,47.0181656,-121.5356486,,,,,781,2562,Sun Top,9/10/79,
1524870,Ranger Falls,Falls,WA,53,Pierce,53,465902N,1215114W,46.9839944,-121.8539925,,,,,830,2723,Mowich Lake,9/10/79,
1524871,Rankin Creek,Stream,WA,53,Whatcom,73,484355N,1215511W,48.7320617,-121.9195934,484454N,1215326W,48.7483333,-121.8905556,669,2195,Twin Sisters Mountain,9/10/79,
1524873,Rapid Creek,Stream,WA,53,Whatcom,73,485737N,1213334W,48.9604054,-121.5595831,485754N,1213029W,48.965,-121.5080556,794,2605,Mount Sefrit,9/10/79,
1524874,Rapid River,Stream,WA,53,Snohomish,61,474811N,1211734W,47.8031633,-121.2928808,474919N,1210728W,47.8220556,-121.1245451,408,1339,Evergreen Mountain,9/10/79,
1524875,Rapjohn Lake,Lake,WA,53,Pierce,53,465419N,1222032W,46.905178,-122.3422099,,,,,195,640,Tanwax Lake,9/10/79,5/15/19
1524876,Rasmussen Creek,Stream,WA,53,Clallam,9,481955N,1242926W,48.3320177,-124.4905062,481811N,1242941W,48.3030556,-124.4947222,3,10,Sekiu River,12/31/92,
1524879,Rat Trap Pass,Gap,WA,53,Snohomish,61,481221N,1212301W,48.2059439,-121.3837248,,,,,966,3169,White Chuck Mountain,9/10/79,3/27/17
1524892,Rattlesnake Lake,Lake,WA,53,King,33,472550N,1214629W,47.430443,-121.7745865,,,,,279,915,North Bend,9/10/79,5/14/19
1524908,Ravensdale,Populated Place,WA,53,King,33,472108N,1215901W,47.3523235,-121.9837251,,,,,190,623,Cumberland,9/10/79,3/21/08
1524909,Ravensdale Lake,Lake,WA,53,King,33,472103N,1215933W,47.3508252,-121.992543,,,,,181,594,Cumberland,9/10/79,5/15/19
1524914,Razor Hone Creek,Stream,WA,53,Whatcom,73,485256N,1213950W,48.8823472,-121.6637516,485107N,1214016W,48.8520686,-121.6709741,727,2385,Mount Larrabee,9/10/79,
1524920,Red Bluff,Cliff,WA,53,Mason,45,472502N,1230601W,47.4173151,-123.1001551,,,,,14,46,Lilliwaup,9/10/79,
1524921,Red Bluff,Cliff,WA,53,Jefferson,31,474655N,1225012W,47.7820365,-122.8365512,,,,,28,92,Quilcene,9/10/79,
1524922,Red Bridge Campground,Locale,WA,53,Snohomish,61,480419N,1213914W,48.0720495,-121.6540101,,,,,393,1289,Mallardy Ridge,9/10/79,
1524926,Red Cabin Creek,Stream,WA,53,Whatcom,73,483140N,1220129W,48.5278882,-122.0245937,483457N,1220054W,48.5825,-122.015,26,85,Lyman,9/10/79,
1524927,Red Creek,Stream,WA,53,King,33,470923N,1215718W,47.1564914,-121.9551097,471100N,1215316W,47.1833333,-121.8877778,242,794,Enumclaw,9/10/79,
1524928,Red Creek,Stream,WA,53,Jefferson,31,474836N,1240912W,47.8100822,-124.1532532,474801N,1240829W,47.8002778,-124.1413889,85,279,Winfield Creek,9/10/79,
1524929,Red Creek,Stream,WA,53,Snohomish,61,480225N,1211248W,48.0403883,-121.2134373,480421N,1211222W,48.0725,-121.2061111,843,2766,Glacier Peak West,9/10/79,
1524930,Red Creek,Stream,WA,53,Grays Harbor,27,472051N,1240150W,47.3475856,-124.030456,471850N,1235937W,47.3139752,-123.9935099,37,121,Macafee Hill,9/10/79,
1524931,Red Creek,Stream,WA,53,Grays Harbor,27,472737N,1241815W,47.4603595,-124.3040764,472402N,1241424W,47.4006384,-124.2399065,9,30,Tunnel Island,9/10/79,
1524933,Red Gulch,Valley,WA,53,Snohomish,61,475715N,1212547W,47.9541743,-121.429766,475755N,1212538W,47.9653192,-121.4272545,699,2293,Monte Cristo,9/10/79,3/13/20
1524952,Red Pass,Gap,WA,53,Snohomish,61,480235N,1211040W,48.0431675,-121.1778813,,,,,1942,6371,Glacier Peak West,9/10/79,
1524961,Redoubt Creek,Stream,WA,53,Whatcom,73,485417N,1211406W,48.9048511,-121.2351302,485655N,1211703W,48.94874,-121.2842994,671,2201,Mount Spickard,9/10/79,
1524967,Reed Creek,Stream,WA,53,Clallam,9,481237N,1240707W,48.2103593,-124.1185444,481311N,1241054W,48.2198023,-124.1816022,3,10,Pysht,9/10/79,
1524980,Reese Lake,Lake,WA,53,Pierce,53,465821N,1212659W,46.9725195,-121.4497558,,,,,1736,5695,Norse Peak,9/10/79,7/24/19
1524981,Reflection Lake,Lake,WA,53,Jefferson,31,473701N,1234219W,47.6169078,-123.7052001,,,,,1057,3468,Bunch Lake,9/10/79,4/9/19
1524985,Reichel Ranch,Locale,WA,53,Thurston,67,464915N,1223319W,46.8209351,-122.5553977,,,,,167,548,Lake Lawrence,9/10/79,
1524986,Reichel Lake,Lake,WA,53,Thurston,67,464933N,1223528W,46.8258696,-122.5912354,,,,,150,492,Lake Lawrence,12/31/92,5/16/19
1524987,Reid Slough,Gut,WA,53,King,33,473050N,1214644W,47.5139913,-121.7789999,,,,,130,427,Snoqualmie,9/10/79,
1524991,Reiter,Populated Place,WA,53,Snohomish,61,475028N,1213751W,47.8412149,-121.6309461,,,,,101,331,Gold Bar,9/10/79,
