,id,metadata,holdingsRecordId,barcode,notes,status,materialTypeId,permanentLoanTypeId,permanentLocationId,volume
10,0f01789e-d4f4-52af-8c75-e7c1051bcacc,"{'createdDate': '2022-03-21T22:27:57.737', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.737', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",9c001d3e-2366-5e75-98de-aa86941c1a8f,10498189-3001   ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.737342'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,3c341f04-0c7c-4766-9771-be7b04beafa6,7TH IN BOX
11,c8a80d36-6767-5f3d-8d2b-357cf3b8db2f,"{'createdDate': '2022-03-21T22:27:57.738', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.738', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",edb82938-22a3-5d5b-b458-2dec16f50cb2,36105224164033  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.738239'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,31b201c0-9e43-4f57-90a8-20bae60044b4,NO.1-20
12,c8a80d36-6767-5f3d-8d2b-357cf3b8db2f,"{'createdDate': '2022-03-21T22:27:57.738', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.738', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",edb82938-22a3-5d5b-b458-2dec16f50cb2,36105234352578  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.738584'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,31b201c0-9e43-4f57-90a8-20bae60044b4,NO.21-43
13,bad4cc3f-9fd2-5a95-b3b8-630b826c4525,"{'createdDate': '2022-03-21T22:27:57.738', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.738', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",4e1c96cc-f839-5137-9726-2a848867afe1,36105231712808  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.738924'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,
14,2cc50353-d966-565e-938f-8ff8b4bff572,"{'createdDate': '2022-03-21T22:27:57.739', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.739', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",41d57ca4-576e-5c47-80cd-8ab382651f58,11418092-1001   ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.739582'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,
15,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.739', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.739', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,4332640-1001    ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.739939'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,
16,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.740', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.740', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017505  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.740255'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 1
17,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.740', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.740', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017513  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.741120'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 2
18,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.741', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.741', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017521  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.741480'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 3
19,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.741', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.741', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017539  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.741884'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 4
20,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.742', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.742', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017547  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.742213'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 5
21,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.743', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.743', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017554  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.743504'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 6
22,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.743', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.743', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017562  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.743834'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 7
23,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.744', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.744', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017570  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.744122'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 8
24,432efc68-a89f-592f-b270-60620f9c8f57,"{'createdDate': '2022-03-21T22:27:57.744', 'createdByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7', 'updatedDate': '2022-03-21T22:27:57.744', 'updatedByUserId': '60cfc6e2-0de4-4dc3-a947-3b7ae0056eb7'}",a37f7ece-6437-5527-9674-4be7aa111677,36105116017588  ,"[{'itemNoteTypeId': 'bcf59f24-afa2-43dd-b928-e1b9872a96ff', 'staffOnly': True}, {'itemNoteTypeId': '5a15e0f8-2802-4cbf-a4de-8f0dedd3ed3a', 'staffOnly': False}]","{'name': 'Available', 'date': '2022-03-21T22:27:57.744402'}",1a54b431-2e4f-452d-9cae-9cee66c9a892,2b94c631-fca9-4892-a730-03ee529ffe27,e5c833cb-6bfb-42cb-9716-f30b528f2597,SERIES 2 BOX 9
